20170612,서초,22.1,45.5,25,11,0.046,0.025,0.3,0.002,109
20170613,서초,21.5,63,28,14,0.035,0.022,0.3,0.003,103
20170614,서초,21.8,63,37,19,0.039,0.027,0.3,0.003,99
20170615,서초,23.1,62.4,44,25,0.042,0.03,0.4,0.004,98
20170616,서초,25.5,55.8,55,39,0.057,0.042,0.5,0.011,105
20170617,서초,24.2,52.3,41,29,0.063,0.021,0.5,0.01,99
20170618,서초,24.3,52,35,25,0.048,0.021,0.4,0.007,106
20170619,서초,24.8,50.9,42,31,0.036,0.03,0.5,0.006,102
20170620,서초,26,43.4,40,29,0.045,0.024,0.5,0.005,102
20170621,서초,25.4,52.6,46,33,0.038,0.018,0.4,0.006,93
20170622,서초,25.3,57.3,31,23,0.036,0.016,0.3,0.005,98
20170623,서초,26.7,53,34,22,0.036,0.024,0.4,0.005,91
20170624,서초,24.5,60.4,32,21,0.021,0.027,0.5,0.006,95
20170625,서초,23.8,75.4,28,22,0.035,0.019,0.4,0.004,105
20170626,서초,23.1,76.9,22,16,0.031,0.029,0.4,0.003,93
20170627,서초,25.2,67.5,22,17,0.039,0.029,0.4,0.003,110
20170628,서초,26,63.5,36,30,0.051,0.032,0.4,0.004,108
20170629,서초,26.2,64.8,41,33,0.047,0.03,0.4,0.003,101
20170630,서초,25.9,65.9,45,35,0.049,0.026,0.4,0.002,102
20170701,서초,25.3,73.6,36,29,0.041,0.029,0.4,0.002,89
20170702,서초,24.3,90.5,27,21,0.022,0.019,0.3,0.002,87
20170703,서초,24.7,87.6,22,16,0.029,0.023,0.3,0.002,82
20170704,서초,26.7,74.5,33,25,0.042,0.024,0.4,0.003,90
20170705,서초,27.4,66.9,34,27,0.05,0.031,0.4,0.003,92
20170706,서초,27.6,72.3,44,34,0.054,0.042,0.5,0.003,90
20170707,서초,26.4,80.8,22,14,0.014,0.037,0.4,0.002,81
20170708,서초,26,83.3,26,17,0.02,0.027,0.3,0.002,85
20170709,서초,26.3,88,26,19,0.023,0.031,0.4,0.002,93
20170710,서초,24,96.5,13,9,0.011,0.034,0.4,0.002,84
20170711,서초,26,81.4,36,27,0.041,0.027,0.4,0.002,91
20170712,서초,27.1,75.9,43,32,0.05,0.025,0.4,0.002,88
20170713,서초,27.6,71,44,33,0.049,0.036,0.5,0.003,91
20170714,서초,28.7,68.4,43,32,0.042,0.04,0.5,0.004,80
20170715,서초,25,89,19,14,0.024,0.027,0.3,0.002,89
20170716,서초,26.2,83.4,17,12,0.02,0.025,0.3,0.003,85
20170717,서초,26.8,77.3,21,14,0.022,0.027,0.3,0.003,87
20170718,서초,26.5,80.6,25,18,0.031,0.032,0.4,0.003,76
20170719,서초,28.3,71.4,35,26,0.052,0.03,0.4,0.003,91
20170720,서초,29.9,66.1,46,35,0.051,0.037,0.5,0.005,91
20170721,서초,29.8,73.1,55,42,0.071,0.032,0.5,0.005,77
20170722,서초,29.3,75.8,55,41,0.054,0.028,0.5,0.006,88
20170723,서초,27,89.5,51,38,0.039,0.027,0.5,0.003,84
20170724,서초,26.2,82.3,32,23,0.021,0.041,0.6,0.003,90
20170725,서초,29.4,64.1,24,15,0.025,0.03,0.5,0.002,80
20170726,서초,28.7,55.6,17,10,0.034,0.034,0.4,0.002,82
20170727,서초,27.1,62.5,26,16,0.025,0.047,0.5,0.003,83
20170728,서초,25.5,92.1,34,22,0.014,0.043,0.7,0.003,85
20170729,서초,27.2,72.3,14,8,0.021,0.03,0.5,0.002,86
20170730,서초,27.9,64.4,20,14,0.043,0.019,0.4,0.003,83
20170731,서초,25.7,82.3,22,15,0.009,0.042,0.6,0.002,84
20170801,서초,28.6,73,20,12,0.026,0.033,0.5,0.003,85
20170802,서초,30,71.9,34,25,0.041,0.04,0.5,0.003,90
20170803,서초,30.2,60.6,25,16,0.028,0.04,0.5,0.003,86
20170804,서초,30.3,60.1,25,18,0.045,0.029,0.4,0.003,79
20170805,서초,31.4,63,26,20,0.041,0.028,0.4,0.003,89
20170806,서초,29.8,71.9,24,19,0.035,0.024,0.4,0.003,81
20170807,서초,29.2,68.1,30,23,0.054,0.016,0.4,0.003,84
20170808,서초,28.2,67.1,40,29,0.053,0.027,0.5,0.004,80
20170809,서초,27.6,66.4,32,24,0.032,0.035,0.5,0.003,91
20170810,서초,24.8,89.9,8,5,0.02,0.024,0.4,0.002,89
20170811,서초,27,72.5,11,6,0.013,0.029,0.4,0.002,78
20170812,서초,27.8,60.3,10,5,0.018,0.026,0.3,0.002,75
20170813,서초,26.3,62.1,9,5,0.014,0.021,0.3,0.002,96
20170814,서초,24.6,67.5,9,5,0.007,0.021,0.3,0.002,90
20170815,서초,21.9,93.8,6,4,0.005,0.02,0.3,0.002,91
20170816,서초,23.3,80.5,9,4,0.009,0.021,0.4,0.002,90
20170817,서초,24.8,77.1,11,8,0.011,0.031,0.4,0.002,80
20170818,서초,26.3,75.6,25,19,0.018,0.043,0.5,0.004,82
20170819,서초,26.1,75.8,23,16,0.021,0.035,0.5,0.003,86
20170820,서초,23.2,95.6,11,7,0.013,0.027,0.4,0.002,87
20170821,서초,25.8,81.5,13,9,0.015,0.027,0.4,0.003,81
20170822,서초,27.3,70.6,15,10,0.019,0.03,0.4,0.005,77
20170823,서초,27.2,84.1,23,12,0.005,0.027,0.5,0.004,89
20170824,서초,26.5,85.3,24,10,0.013,0.024,0.4,0.003,87
20170825,서초,25.3,61.9,24,13,0.024,0.035,0.6,0.004,89
20170826,서초,24.2,54.5,21,10,0.032,0.024,0.4,0.004,92
20170827,서초,22.7,62,21,12,0.017,0.034,0.4,0.003,84
20170828,서초,21.5,73.1,25,16,0.015,0.041,0.5,0.003,86
20170829,서초,19.5,51.4,15,7,0.031,0.012,0.3,0.002,87
20170830,서초,19.8,55.8,21,10,0.016,0.034,0.4,0.004,89
20170831,서초,22.2,62.4,34,21,0.029,0.033,0.6,0.003,91
20170901,서초,23.3,56,22,12,0.027,0.025,0.4,0.003,103
20170902,서초,23.8,59,23,14,0.032,0.029,0.4,0.004,90
20170903,서초,23.7,64,28,19,0.043,0.027,0.5,0.004,99
20170904,서초,24.6,53.8,28,19,0.03,0.041,0.5,0.003,103
20170905,서초,21.9,62.4,23,13,0.008,0.046,0.5,0.003,105
20170906,서초,20.6,75.5,24,15,0.016,0.041,0.5,0.003,94
20170907,서초,22.4,73.3,35,27,0.037,0.029,0.6,0.004,93
20170908,서초,24.3,67.5,58,41,0.034,0.035,0.7,0.005,95
20170909,서초,23.8,70.1,60,46,0.037,0.039,0.7,0.004,103
20170910,서초,23,74.3,46,35,0.022,0.045,0.7,0.003,103
20170911,서초,21.2,79.8,21,17,0.03,0.028,0.5,0.003,93
