"","dt","temp","humi","pm10","sales2"
"774","20170213",0.100000001490116,59.5999984741211,44,135
"775","20170214",0.300000011920929,46,26,139
"776","20170215",1.79999995231628,52.0999984741211,44,145
"777","20170216",5.5,63.9000015258789,28,131
"778","20170217",0.800000011920929,56.9000015258789,28,139
"779","20170218",-2.59999990463257,49.4000015258789,24,139
"780","20170219",2.29999995231628,68,30,144
"781","20170220",-1.5,53.7999992370605,55,133
"782","20170221",-0.600000023841858,37.0999984741211,30,140
"783","20170222",1.70000004768372,70.8000030517578,52,123
"784","20170223",-1.5,56.4000015258789,18,138
"785","20170224",-0.800000011920929,51.2999992370605,35,134
"786","20170225",2.59999990463257,63.5999984741211,51,139
"787","20170226",3.59999990463257,52.7999992370605,73,138
"788","20170227",3.70000004768372,37.4000015258789,108,129
"789","20170228",5.59999990463257,41.5,81,129
"790","20170301",5,65,57,74.1
"791","20170302",1.79999995231628,59.5,32,106.4
"792","20170303",3.29999995231628,54.4000015258789,39,100.7
"793","20170304",5.69999980926514,60,52,78.8
"794","20170305",5.19999980926514,71.5999984741211,60,83.8
"795","20170306",0.100000001490116,41.2999992370605,34,106.8
"796","20170307",-1.29999995231628,37.5,31,98.3
"797","20170308",-0.100000001490116,50.5999984741211,40,115.6
"798","20170309",3.20000004768372,47.2999992370605,43,111.3
"799","20170310",4.80000019073486,37.4000015258789,42,93.8
"800","20170311",7.30000019073486,37.4000015258789,59,88.9
"801","20170312",8.19999980926514,58.4000015258789,84,134
"802","20170313",6.90000009536743,49.7999992370605,58,89.3
"803","20170314",5.80000019073486,37.5,46,82.2
"804","20170315",6.30000019073486,34.9000015258789,37,94.7
"805","20170316",6.19999980926514,41.7999992370605,60,81.3
"806","20170317",7.69999980926514,43.0999984741211,71,61.7
"807","20170318",9.5,34.0999984741211,75,68.1
"808","20170319",10.8999996185303,36,70,67.7
"809","20170320",10.1999998092651,40.4000015258789,90,126
"810","20170321",7.40000009536743,48.0999984741211,91,129
"811","20170322",7.59999990463257,32.7999992370605,45,92.9
"812","20170323",9.10000038146973,34,65,75.3
"813","20170324",8.69999980926514,41.4000015258789,53,94.4
"814","20170325",8.10000038146973,41.0999984741211,64,69.8
"815","20170326",7.30000019073486,53.0999984741211,59,85.7
"816","20170327",6.09999990463257,67.4000015258789,69,70.7
"817","20170328",7.09999990463257,59.7999992370605,82,134
"818","20170329",8.80000019073486,54.9000015258789,57,70
"819","20170330",10.6000003814697,50,62,81
"820","20170331",8.60000038146973,70.5999984741211,49,80.1
"821","20170401",9,60.5,20,127.8
"822","20170402",9,53.0999984741211,45,82.4
"823","20170403",11.3999996185303,45.5999984741211,75,61.1
"824","20170404",14.1000003814697,35.2999992370605,72,66.6
"825","20170405",12,66,54,94.2
"826","20170406",10.3999996185303,90,23,98.9
"827","20170407",14.5,68.0999984741211,43,84
"828","20170408",13,74.5,64,70.8
"829","20170409",14.8000001907349,59.5999984741211,41,102.6
"830","20170410",16.5,25.7999992370605,27,114.9
"831","20170411",15.3000001907349,36.7999992370605,52,99.1
"832","20170412",11.5,21.7999992370605,55,132.7
